k,alpha,jacobian_sr,stable
0.2875,0.1854,0.45463434109766865,1
0.2875,0.1958,0.45204862565662063,1
0.2875,0.2062,0.4494655607203835,1
0.2875,0.2167,0.44688513786988115,1
0.2875,0.2271,0.444307348643478,1
0.2875,0.2375,0.4417321845380508,1
0.2875,0.2479,0.43915963701004057,1
0.2875,0.2583,0.4365896974765143,1
0.2875,0.2688,0.43402235731621064,1
0.2875,0.2792,0.4314576078705887,1
0.2875,0.2896,0.42889544044487626,1
0.2875,0.3,0.42633584630909804,1
0.3,0.05,0.5102797555762605,1
0.3,0.0604,0.5076582292064844,1
0.3,0.0708,0.5050393454039773,1
0.3,0.0812,0.5024230970482747,1
0.3,0.0917,0.4998094769688568,1
0.3,0.1021,0.4971984779460734,1
0.3,0.1125,0.4945900927120511,1
0.3,0.1229,0.49198431395160436,1
0.3,0.1333,0.48938113430315494,1
0.3,0.1438,0.4867805463596432,1
0.3,0.1542,0.48418254266943583,1
0.3,0.1646,0.4815871157372376,1
0.3,0.175,0.4789942580250075,1
0.3,0.1854,0.4764039619528605,1
0.3,0.1958,0.47381621989997735,1
0.3,0.2062,0.47123102420550494,1
0.3,0.2167,0.46864836716946656,1
0.3,0.2271,0.4660682410536579,1
0.3,0.2375,0.46349063808254637,1
0.3,0.2479,0.4609155504441644,1
0.3,0.2583,0.45834297029100884,1
0.3,0.2688,0.4557728897409239,1
0.3,0.2792,0.45320530087799177,1
0.3,0.2896,0.4506401957534152,1
0.3,0.3,0.4480775663863988,1
0.3125,0.05,0.532066032943207,1
0.3125,0.0604,0.5294439454622581,1
0.3125,0.0708,0.5268243964251194,1
0.3125,0.0812,0.5242073792813162,1
0.3125,0.0917,0.5215928874358756,1
0.3125,0.1021,0.518980914250099,1
0.3125,0.1125,0.516371453042338,1
0.3125,0.1229,0.5137644970887714,1
0.3125,0.1333,0.5111600396241842,1
0.3125,0.1438,0.5085580738427368,1
0.3125,0.1542,0.5059585928987473,1
0.3125,0.1646,0.5033615899074567,1
0.3125,0.175,0.5007670579458072,1
0.3125,0.1854,0.4981749900532194,1
0.3125,0.1958,0.4955853792323518,1
0.3125,0.2062,0.4929982184498809,1
0.3125,0.2167,0.4904135006372634,1
0.3125,0.2271,0.48783121869150464,1
0.3125,0.2375,0.4852513654759242,1
0.3125,0.2479,0.48267393382091694,1
0.3125,0.2583,0.48009891652471254,1
0.3125,0.2688,0.47752630635413834,1
0.3125,0.2792,0.4749560960453701,1
0.3125,0.2896,0.4723882783046888,1
0.3125,0.3,0.4698228458092274,1
0.325,0.05,0.5538524042764119,1
0.325,0.0604,0.5512297985642,1
0.325,0.0708,0.5486096350627646,1
0.325,0.0812,0.545991907725895,1
0.325,0.0917,0.5433766104676355,1
0.325,0.1021,0.5407637371629597,1
0.325,0.1125,0.5381532816484234,1
0.325,0.1229,0.5355452377228284,1
0.325,0.1333,0.5329395991478922,1
0.325,0.1438,0.5303363596489056,1
0.325,0.1542,0.527735512915398,1
0.325,0.1646,0.5251370526017973,1
0.325,0.175,0.5225409723280933,1
0.325,0.1854,0.5199472656804959,1
0.325,0.1958,0.5173559262121005,1
0.325,0.2062,0.5147669474435365,1
0.325,0.2167,0.5121803228636364,1
0.325,0.2271,0.5095960459300843,1
0.325,0.2375,0.5070141100700738,1
0.325,0.2479,0.504434508680959,1
0.325,0.2583,0.5018572351309111,1
0.325,0.2688,0.499282282759564,1
0.325,0.2792,0.49670964487866154,1
0.325,0.2896,0.494139314772706,1
0.325,0.3,0.4915712856996046,1
0.3375,0.05,0.5756388591745514,1
0.3375,0.0604,0.5730157733771299,1
0.3375,0.0708,0.5703950405841255,1
0.3375,0.0812,0.5677766551975834,1
0.3375,0.0917,0.5651606115839112,1
0.3375,0.1021,0.5625469040744523,1
0.3375,0.1125,0.5599355269660546,1
0.3375,0.1229,0.5573264745216376,1
0.3375,0.1333,0.5547197409707677,1
0.3375,0.1438,0.5521153205102296,1
0.3375,0.1542,0.549513207304593,1
0.3375,0.1646,0.5469133954867773,1
0.3375,0.175,0.5443158791586296,1
0.3375,0.1854,0.5417206523914901,1
0.3375,0.1958,0.5391277092267608,1
0.3375,0.2062,0.5365370436764635,1
0.3375,0.2167,0.5339486497238218,1
0.3375,0.2271,0.5313625213238123,1
0.3375,0.2375,0.5287786524037382,1
0.3375,0.2479,0.5261970368637838,1
0.3375,0.2583,0.5236176685775825,1
0.3375,0.2688,0.5210405413927772,1
0.3375,0.2792,0.5184656491315696,1
0.3375,0.2896,0.5158929855912917,1
0.3375,0.3,0.5133225445449516,1
0.35,0.05,0.5974253887167471,1
0.35,0.0604,0.5948018569183139,1
0.35,0.0708,0.5921805952024458,1
0.35,0.0812,0.589561598371429,1
0.35,0.0917,0.5869448611954646,1
0.35,0.1021,0.5843303784131759,1
0.35,0.1125,0.5817181447320959,1
0.35,0.1229,0.579108154829152,1
0.35,0.1333,0.5765004033511779,1
